 alpha[deg], CL, CD, Cm
  -180.00000000000000      ,  -6.4733113944037848E-007 ,   1.3632688387956926E-006 ,  -7.6446330689604159E-008
  -179.00000000000000      ,   6.0835279399551944E-004 ,   1.2155159715638897E-005 ,   2.4208695226190613E-004
  -178.00000000000000      ,   2.4336483789344845E-003 ,   8.6716157853995447E-005 ,   9.6829506592951270E-004
  -177.00000000000003      ,   5.4696783821181309E-003 ,   2.8860462767641158E-004 ,   2.1776630762626527E-003
  -175.99999999999997      ,   9.7071921979274382E-003 ,   6.8099139521904124E-004 ,   3.8687175068087961E-003
  -174.99999999999997      ,   1.5133275270841979E-002 ,   1.3264672261079293E-003 ,   6.0393980183694176E-003
  -174.00000000000000      ,   2.1731384862091231E-002 ,   2.2868519150032090E-003 ,   8.6870599193400264E-003
  -173.00000000000000      ,   2.9481395870362782E-002 ,   3.6230055162807116E-003 ,   1.1808477388053240E-002
  -172.00000000000000      ,   3.8359656580359870E-002 ,   5.3946422395318005E-003 ,   1.5399847403202832E-002
  -171.00000000000000      ,   4.8339054185780370E-002 ,   7.6601475265605009E-003 ,   1.9456794377575578E-002
  -170.00000000000000      ,   5.9389089906335311E-002 ,   1.0476398817623541E-002 ,   2.3974375489457311E-002
  -169.00000000000000      ,   7.1475963492179176E-002 ,   1.3898590504656175E-002 ,   2.8947086705239915E-002
  -168.00000000000000      ,   8.4562666883043092E-002 ,   1.7980063557909348E-002 ,   3.4368869485899851E-002
  -167.00000000000000      ,   9.8609086764442272E-002 ,   2.2772140299543862E-002 ,   4.0233118169211546E-002
  -166.00000000000003      ,  0.11357211573859501      ,   2.8323964783659152E-002 ,   4.6532688018716219E-002
  -164.99999999999997      ,  0.12940577180407217      ,   3.4682349227137151E-002 ,   5.3259903929674487E-002
  -164.00000000000000      ,  0.14606132581522355      ,   4.1891626918931391E-002 ,   6.0406569781426264E-002
  -163.00000000000000      ,  0.16348743657044157      ,   4.9993512017884559E-002 ,   6.7963978424801716E-002
  -162.00000000000000      ,  0.18163029315720661      ,   5.9026966630368917E-002 ,   7.5922922292458561E-002
  -160.99999999999997      ,  0.20043376416180758      ,   6.9028075539129777E-002 ,   8.4273704619266976E-002
  -160.00000000000000      ,  0.21983955333260702      ,   8.0029928933940592E-002 ,   9.3006151259128422E-002
  -159.00000000000000      ,  0.23978736126781838      ,   9.2062513472757110E-002 ,  0.10210962308389661     
  -158.00000000000000      ,  0.26021505268201695      ,  0.10515261197946538      ,  0.11157302894936637     
  -156.99999999999997      ,  0.28105882878999805      ,  0.11932371206075658      ,  0.12138483921261482     
  -156.00000000000000      ,  0.30225340433241071      ,  0.13459592390030961      ,  0.13153309978432662     
  -155.00000000000000      ,  0.32373218875437376      ,  0.15098590746369583      ,  0.14200544669908385     
  -154.00000000000003      ,  0.34542747103673777      ,  0.16850680932156806      ,  0.15278912118599713     
  -153.00000000000000      ,  0.36727060766911174      ,  0.18716820927269803      ,  0.16387098522144858     
  -152.00000000000000      ,  0.38919221324484843      ,  0.20697607692195408      ,  0.17523753754516588     
  -151.00000000000000      ,  0.41112235315046353      ,  0.22793273834090844      ,  0.18687493012028183     
  -150.00000000000003      ,  0.43299073781579323      ,  0.25003685291188693      ,  0.19876898501754164     
  -149.00000000000000      ,  0.45472691798621256      ,  0.27328340042833876      ,  0.21090521170329807     
  -148.00000000000000      ,  0.47626048047508396      ,  0.29766367849688330      ,  0.22326882471051354     
  -147.00000000000000      ,  0.49752124385225949      ,  0.32316531025839396      ,  0.23584476167151300     
  -146.00000000000000      ,  0.51843945352422971      ,  0.34977226241785253      ,  0.24861770169086364     
  -145.00000000000000      ,  0.53894597566215563      ,  0.37746487354460606      ,  0.26157208403636162     
  -144.00000000000000      ,  0.55897248943630939      ,  0.40621989257748653      ,  0.27469212712578223     
  -143.00000000000000      ,  0.57845167701917832      ,  0.43601052744143065      ,  0.28796184778673506     
  -142.00000000000000      ,  0.59731741082442114      ,  0.46680650365549098      ,  0.30136508076669544     
  -141.00000000000000      ,  0.61550493745527812      ,  0.49857413278532420      ,  0.31488549847004638     
  -140.00000000000000      ,  0.63295105784375127      ,  0.53127639056697418      ,  0.32850663089876503     
  -139.00000000000000      ,  0.64959430307081423      ,  0.56487300450332234      ,  0.34221188577322570     
  -137.99999999999997      ,  0.66537510536819533      ,  0.59932055070925028      ,  0.35598456880945978     
  -137.00000000000000      ,  0.68023596381370754      ,  0.63457255975757065      ,  0.36980790412913661     
  -136.00000000000000      ,  0.69412160424470559      ,  0.67057963125395081      ,  0.38366505477848739     
  -135.00000000000000      ,  0.70697913292800552      ,  0.70728955684649508      ,  0.39753914333237778     
  -133.99999999999997      ,  0.71875818353932697      ,  0.74464745135385457      ,  0.41141327255979604     
  -133.00000000000000      ,  0.72941105702120967      ,  0.78259589167496435      ,  0.42527054612710863     
  -132.00000000000000      ,  0.73889285390492165      ,  0.82107506312371337      ,  0.43909408931556376     
  -131.00000000000003      ,  0.74716159869957577      ,  0.86002291281338428      ,  0.45286706972971796     
  -130.00000000000000      ,  0.75417835596996796      ,  0.89937530969810386      ,  0.46657271797369521     
  -129.00000000000000      ,  0.75990733774374664      ,  0.93906621086264541      ,  0.48019434827247803     
  -128.00000000000000      ,  0.76431600190822901      ,  0.97902783363686086      ,  0.49371537901578488     
  -127.00000000000003      ,  0.76737514127740580      ,   1.0191908330976507      ,  0.50711935320247725     
  -126.00000000000000      ,  0.76905896303038968      ,   1.0594844845094427      ,  0.52038995876392791     
  -124.99999999999999      ,  0.76934515824358984      ,   1.0998368702433066      ,  0.53351104874528232     
  -124.00000000000000      ,  0.76821496126024269      ,   1.1401750707062452      ,  0.54646666132418331     
  -123.00000000000001      ,  0.76565319866230297      ,   1.1804253588042748      ,  0.55924103964715377     
  -122.00000000000000      ,  0.76164832763131229      ,   1.2205133974575417      ,  0.57181865146460686     
  -121.00000000000000      ,  0.75619246350612501      ,   1.2603644396812628      ,  0.58418420854625708     
  -119.99999999999999      ,  0.74928139636681956      ,   1.2999035307440163      ,  0.59632268585961734     
  -119.00000000000000      ,  0.74091459649482494      ,   1.3390557119142477      ,  0.60821934049525694     
  -118.00000000000000      ,  0.73109520857999921      ,   1.3777462253068820      ,  0.61985973032357500     
  -117.00000000000000      ,  0.71983003456517591      ,   1.4159007193449584      ,  0.63122973236903723     
  -116.00000000000000      ,  0.70712950503800320      ,   1.4534454543560724      ,  0.64231556088910358     
  -114.99999999999999      ,  0.69300763909837326      ,   1.4903075078299297      ,  0.65310378514647227     
  -114.00000000000000      ,  0.67748199264702236      ,   1.5264149788721844      ,  0.66358134686478998     
  -113.00000000000000      ,  0.66057359505741264      ,   1.5616971914000688      ,  0.67373557735961143     
  -112.00000000000000      ,  0.64230687420794441      ,   1.5960848956379512      ,  0.68355421433816521     
  -111.00000000000000      ,  0.62270956986535253      ,   1.6295104674854901      ,  0.69302541836340692     
  -110.00000000000000      ,  0.60181263542222962      ,   1.6619081053474003      ,  0.70213778897988344     
  -108.99999999999999      ,  0.57965012800216864      ,   1.6932140240324116      ,  0.71088038050117197     
  -108.00000000000000      ,  0.55625908695469084      ,   1.7233666453494503      ,  0.71924271746102519     
  -107.00000000000000      ,  0.53167940076890552      ,   1.7523067850513558      ,  0.72721480973290720     
  -106.00000000000000      ,  0.50595366243960715      ,   1.7799778358009821      ,  0.73478716732535321     
  -105.00000000000000      ,  0.47912701332212632      ,   1.8063259458605911      ,  0.74195081486347270     
  -104.00000000000001      ,  0.45124697551270904      ,   1.8313001932336179      ,  0.74869730577004268     
  -103.00000000000000      ,  0.42236327278948971      ,   1.8548527550176612      ,  0.75501873616291615     
  -102.00000000000000      ,  0.39252764014514852      ,   1.8769390717588703      ,  0.76090775848893089     
  -101.00000000000000      ,  0.36179362193641362      ,   1.8975180066308688      ,  0.76635759491816613     
  -100.00000000000000      ,  0.33021635866762555      ,   1.9165519992953124      ,  0.77136205052619311     
  -99.000000000000014      ,  0.29785236241616109      ,   1.9340072143362004      ,  0.77591552629589333     
  -98.000000000000000      ,  0.26475928089672618      ,   1.9498536841955407      ,  0.78001303197445737     
  -97.000000000000000      ,  0.23099565015042645      ,   1.9640654465737672      ,  0.78365019882525444     
  -96.000000000000000      ,  0.19662063583346120      ,   1.9766206762931784      ,  0.78682329231829062     
  -95.000000000000000      ,  0.16169376307081013      ,   1.9875018116567591      ,  0.78952922480688770     
  -94.000000000000000      ,  0.12627463483364021      ,   1.9966956753661864      ,  0.79176556824185063     
  -92.999999999999986      ,   9.0422638797416743E-002 ,   2.0041935900911350      ,  0.79353056697758062     
  -92.000000000000000      ,   5.4196642643344312E-002 ,   2.0099914888052375      ,  0.79482315072711218     
  -91.000000000000000      ,   1.7654677782006016E-002 ,   2.0140900200206433      ,  0.79564294772460320     
  -90.000000000000000      ,  -1.9146388490889326E-002 ,   2.0164946480606067      ,  0.79599029815399336     
  -89.000000000000000      ,  -5.6151192345993813E-002 ,   2.0172157485052429      ,  0.79586626790093218     
  -87.999999999999986      ,  -9.3306224141223332E-002 ,   2.0162686989260323      ,  0.79527266268098673     
  -87.000000000000000      , -0.13056019026286925      ,   2.0136739649855300      ,  0.79421204258988964     
  -86.000000000000000      , -0.16786438568226028      ,   2.0094571819153000      ,  0.79268773711016305     
  -85.000000000000000      , -0.20517307661165562      ,   2.0036492312906611      ,  0.79070386059172837     
  -84.000000000000000      , -0.24244389236067240      ,   1.9962863128885893      ,  0.78826532820062256     
  -83.000000000000014      , -0.27963822512376146      ,   1.9874100112358992      ,  0.78537787229795952     
  -82.000000000000000      , -0.31672163594910857      ,   1.9770673562182006      ,  0.78204805916861519     
  -81.000000000000000      , -0.35366426452491800      ,   1.9653108768141456      ,  0.77828330596335171     
  -80.000000000000000      , -0.39044123964169536      ,   1.9521986466293946      ,  0.77409189764606523     
  -79.000000000000000      , -0.42703308621531638      ,   1.9377943194146616      ,  0.76948300364616096     
  -78.000000000000000      , -0.46342612354858215      ,   1.9221671521430004      ,  0.76446669380054177     
  -77.000000000000014      , -0.49961284802718486      ,   1.9053920124731767      ,  0.75905395302585676     
  -76.000000000000000      , -0.53559229164652722      ,   1.8875493665152852      ,  0.75325669398431760     
  -75.000000000000014      , -0.57137034560471767      ,   1.8687252417189741      ,  0.74708776679026700     
  -74.000000000000000      , -0.60696003563349954      ,   1.8490111583995072      ,  0.74056096454420672     
  -73.000000000000000      , -0.64238173274021582      ,   1.8285040218810120      ,  0.73369102317110013     
  -72.000000000000000      , -0.67766327958289307      ,   1.8073059654519825      ,  0.72649361367626686     
  -71.000000000000000      , -0.71284000880568110      ,   1.7855241322863502      ,  0.71898532451289554     
  -70.000000000000000      , -0.74795462537162771      ,   1.7632703821884843      ,  0.71118363128112494     
  -68.999999999999986      , -0.78305692035015195      ,   1.7406609064973888      ,  0.70310685045591925     
  -68.000000000000000      , -0.81820327893409572      ,   1.7178157317891996      ,  0.69477407328301388     
  -66.999999999999986      , -0.85345594096964417      ,   1.6948580902451935      ,  0.68620507541295828     
  -66.000000000000000      , -0.88888196841286260      ,   1.6719136318581533      ,  0.67742019730038072     
  -65.000000000000000      , -0.92455187147861828      ,   1.6491094512605209      ,  0.66844018993474585     
  -64.000000000000000      , -0.96053784461627167      ,   1.6265729001918419      ,  0.65928602016758853     
  -63.000000000000000      , -0.99691156583862783      ,   1.6044301559097478      ,  0.64997862986279875     
  -62.000000000000000      ,  -1.0337415195586976      ,   1.5828045167424565      ,  0.64053864345197264     
  -61.000000000000000      ,  -1.0710898153293609      ,   1.5618143991683147      ,  0.63098601938429077     
  -59.999999999999993      ,  -1.1090084941783176      ,   1.5415710171014456      ,  0.62133964259942676     
  -59.000000000000000      ,  -1.1475353419274974      ,   1.5221757343673785      ,  0.61161685771083318     
  -58.000000000000000      ,  -1.1866892659669170      ,   1.5037170966013393      ,  0.60183294623983075     
  -57.000000000000000      ,  -1.2264653386905873      ,   1.4862675698399248      ,  0.59200055611415625     
  -56.000000000000000      ,  -1.2668296663241396      ,   1.4698800404910093      ,  0.58212909776867194     
  -55.000000000000000      ,  -1.3077143036909720      ,   1.4545841652499296      ,  0.57222412843822201     
  -54.000000000000000      ,  -1.3490124990460814      ,   1.4403826991917930      ,  0.56228675427520813     
  -53.000000000000000      ,  -1.3905746116403330      ,   1.4272479739141821      ,  0.55231308814856706     
  -52.000000000000007      ,  -1.4322050891681837      ,   1.4151187420329479      ,  0.54229380847657793     
  -51.000000000000000      ,  -1.4736609121504327      ,   1.4038976447516529      ,  0.53221387001852305     
  -50.000000000000000      ,  -1.5146518967863323      ,   1.3934495892698777      ,  0.52205241980631523     
  -49.000000000000000      ,  -1.5548431877111186      ,   1.3836013349056626      ,  0.51178296891646424     
  -48.000000000000000      ,  -1.5938601623111410      ,   1.3741425730454027      ,  0.50137386237452941     
  -47.000000000000000      ,  -1.6312958101685477      ,   1.3648287393956358      ,  0.49078907450192755     
  -46.000000000000000      ,  -1.6667204545337355      ,   1.3553857131356188      ,  0.47998933567111962     
  -45.000000000000000      ,  -1.6996934659463789      ,   1.3455164365982399      ,  0.46893357003184782     
  -43.999999999999993      ,  -1.7297764070658996      ,   1.3349093372495089      ,  0.45758059475363883     
  -43.000000000000000      ,  -1.7565468720232993      ,   1.3232482640048266      ,  0.44589100309071589     
  -42.000000000000000      ,  -1.7796121713197328      ,   1.3102234815077549      ,  0.43382912998921624     
  -41.000000000000000      ,  -1.7986219853875580      ,   1.2955431220242650      ,  0.42136498370448211     
  -40.000000000000000      ,  -1.8132791751783952      ,   1.2789443983576492      ,  0.40847602271863998     
  -39.000000000000000      ,  -1.8233480906267430      ,   1.2602038515060847      ,  0.39514866531247206     
  -38.000000000000000      ,  -1.8286599375542787      ,   1.2391459536796359      ,  0.38137943870706387     
  -37.000000000000000      ,  -1.8291150202340105      ,   1.2156495090340498      ,  0.36717570316906056     
  -36.000000000000000      ,  -1.8246819358158943      ,   1.1896514770918389      ,  0.35255591993522090     
  -35.000000000000000      ,  -1.8153940257884058      ,   1.1611480633526829      ,  0.33754946574989592     
  -34.000000000000000      ,  -1.8013435640778039      ,   1.1301931486451664      ,  0.32219602701337674     
  -33.000000000000000      ,  -1.7826742678052565      ,   1.0968943341425283      ,  0.30654462984456998     
  -32.000000000000000      ,  -1.7595727533149288      ,   1.0614070389621741      ,  0.29065237710047503     
  -31.000000000000000      ,  -1.7322595348980210      ,   1.0239271873810132      ,  0.27458296948377109     
  -29.999999999999996      ,  -1.7009800913007449      ,  0.98468305895685415      ,  0.25840508655964722     
  -29.000000000000000      ,  -1.6659964231087949      ,  0.94392685287447942      ,  0.24219069690505993     
  -28.000000000000000      ,  -1.6275794094948266      ,  0.90192645021458917      ,  0.22601335714242785     
  -27.000000000000000      ,  -1.5860021598662357      ,  0.85895776070368557      ,  0.20994654947777588     
  -26.000000000000004      ,  -1.5415344549358636      ,  0.81529793024210484      ,  0.19406209821847079     
  -25.000000000000000      ,  -1.4944382887355838      ,  0.77121957628624294      ,  0.17842869849295964     
  -24.000000000000000      ,  -1.4449644604766392      ,  0.72698612044911137      ,  0.16311058519546418     
  -23.000000000000000      ,  -1.3933501224797993      ,  0.68284820783046174      ,  0.14816636658920848     
  -21.999999999999996      ,  -1.3398171653529274      ,  0.63904114317713923      ,  0.13364804420181872     
  -21.000000000000000      ,  -1.2845713109199746      ,  0.59578323463898641      ,  0.11960023769655571     
  -20.000000000000000      ,  -1.2278017835687816      ,  0.55327491428747266      ,  0.10605962948520628     
  -19.000000000000000      ,  -1.1696814383516176      ,  0.51169849731829131      ,   9.3054638450234400E-002
  -18.000000000000000      ,  -1.1103672364796309      ,  0.47121844527418760      ,   8.0605325159295596E-002
  -17.000000000000000      ,  -1.0500009735235967      ,  0.43198200921736585      ,   6.8723522695683631E-002
  -16.000000000000000      , -0.98871018098067376      ,  0.39412014357589620      ,   5.7413178348202538E-002
  -14.999999999999998      , -0.92660913673115963      ,  0.35774859804214942      ,   4.6670882765073418E-002
  -14.000000000000000      , -0.86379993356740381      ,  0.32296911170658432      ,   3.6486555681034746E-002
  -13.000000000000002      , -0.80037356704272233      ,  0.28987064942824270      ,   2.6844251755515504E-002
  -12.000000000000000      , -0.73641101421872612      ,  0.25853063459922837      ,   1.7723046945487292E-002
  -10.999999999999998      , -0.67198428350722994      ,  0.22901614463233361      ,   9.0979653940627733E-003
  -10.000000000000000      , -0.60715742283241947      ,  0.20138504561642956      ,   9.4090893410447352E-004
  -9.0000000000000000      , -0.54198747896061428      ,  0.17568705073397201      ,  -6.7784444037966782E-003
  -8.0000000000000000      , -0.47652540526162906      ,  0.15196469340492547      ,  -1.4091800608300989E-002
  -7.0000000000000000      , -0.41081691858126662      ,  0.13025421094330705      ,  -2.1031489556129917E-002
  -6.0000000000000000      , -0.34490330850982731      ,  0.11058633802977345      ,  -2.7629798397531380E-002
  -5.0000000000000000      , -0.27882220429778481      ,   9.2987011749658788E-002 ,  -3.3918405576582392E-002
  -4.0000000000000000      , -0.21260830614455228      ,   7.7477991531599399E-002 ,  -3.9927916612018013E-002
  -3.0000000000000000      , -0.14629408869342936      ,   6.4077398230044796E-002 ,  -4.5687497808119440E-002
  -2.0000000000000000      ,  -7.9910485406246345E-002 ,   5.2800176978359439E-002 ,  -5.1224600275882035E-002
  -1.0000000000000000      ,  -1.3487563144629159E-002 ,   4.3658488421932394E-002 ,  -5.6564764023690782E-002
   0.0000000000000000      ,   5.2944803188410362E-002 ,   3.6662032620713089E-002 ,  -6.1731490328805955E-002
   1.0000000000000000      ,  0.11936898035326239      ,   3.1818503329751606E-002 ,  -6.6785604003891885E-002
   2.0000000000000000      ,  0.18576722038910187      ,   2.9134295222208357E-002 ,  -7.1772587924807563E-002
   3.0000000000000000      ,  0.25210930295640971      ,   2.8614005392433400E-002 ,  -7.6692457271773887E-002
   4.0000000000000000      ,  0.31836458122825528      ,   3.0260451689198931E-002 ,  -8.1546479196712748E-002
   5.0000000000000000      ,  0.38450130091100820      ,   3.4074848067103210E-002 ,  -8.6336913869529658E-002
   6.0000000000000000      ,  0.45048591683270728      ,   4.0056921601840996E-002 ,  -9.1066775453858842E-002
   7.0000000000000000      ,  0.51628239729830272      ,   4.8204975640836110E-002 ,  -9.5739613727906056E-002
   8.0000000000000000      ,  0.58185150696836430      ,   5.8515902313911565E-002 , -0.10035931622774623     
   9.0000000000000000      ,  0.64715005971424011      ,   7.0985146449816919E-002 , -0.10492993018145046     
   10.000000000000000      ,  0.71213013380204293      ,   8.5606621829576832E-002 , -0.10945550310361293     
   10.999999999999998      ,  0.77673824294395466      ,  0.10237257965298983      , -0.11393994070891743     
   12.000000000000000      ,  0.84091445833351874      ,  0.12127342809827488      , -0.11838688075821070     
   13.000000000000002      ,  0.90459147888049851      ,  0.14229750091850199      , -0.12279958155143027     
   14.000000000000000      ,  0.96769364963308846      ,  0.16543077214905008      , -0.12718082401261044     
   14.999999999999998      ,   1.0301359319967880      ,  0.19065651321231072      , -0.13153282666107263     
   16.000000000000000      ,   1.0918228340252436      ,  0.21795488802323673      , -0.13585717322147992     
   17.000000000000000      ,   1.1526473149755725      ,  0.24730248115851267      , -0.14015475318808432     
   18.000000000000000      ,   1.2124896856924228      ,  0.27867175380484538      , -0.14442571632055387     
   19.000000000000000      ,   1.2712165353881948      ,  0.31203042211868837      , -0.14866944280414274     
   20.000000000000000      ,   1.3286797261367127      ,  0.34734075290352223      , -0.15288453164492294     
   21.000000000000000      ,   1.3847155088992238      ,  0.38455877226057450      , -0.15706881077199572     
   21.999999999999996      ,   1.4391438289839165      ,  0.42363338424247343      , -0.16121937325028604     
   23.000000000000000      ,   1.4917679040751401      ,  0.46450539871570523      , -0.16533264491824201     
   24.000000000000000      ,   1.5423741735748546      ,  0.50710647082596771      , -0.16940448957881640     
   25.000000000000000      ,   1.5907327327413383      ,  0.55135795889566264      , -0.17343035848485758     
   26.000000000000004      ,   1.6365983772069834      ,  0.59716971351500814      , -0.17740549113508486     
   27.000000000000000      ,   1.6797123905227416      ,  0.64443881826393568      , -0.18132517416723054     
   28.000000000000000      ,   1.7198052064335254      ,  0.69304831213201123      , -0.18518506421050748     
   29.000000000000000      ,   1.7566000651947156      ,  0.74286593541774326      , -0.18898157874317292     
   29.999999999999996      ,   1.7898177557798614      ,  0.79374295467038392      , -0.19271235611561166     
   31.000000000000000      ,   1.8191824900171358      ,  0.84551313784069593      , -0.19637678182737647     
   32.000000000000000      ,   1.8444288882938265      ,  0.89799196765469835      , -0.19997657287869966     
   33.000000000000000      ,   1.8653099692236372      ,  0.95097619829496349      , -0.20351640570562454     
   34.000000000000000      ,   1.8816059302962267      ,   1.0042438761937056      , -0.20700456621397706     
   35.000000000000000      ,   1.8931333895982290      ,   1.0575549579042993      , -0.21045359334412364     
   36.000000000000000      ,   1.8997546411203745      ,   1.1106526637691150      , -0.21388088123405014     
   37.000000000000000      ,   1.9013863729164180      ,   1.1632657020385879      , -0.21730920035099174     
   38.000000000000000      ,   1.8980072261683194      ,   1.2151114805298882      , -0.22076709588080318     
   39.000000000000000      ,   1.8896635520118725      ,   1.2659003883406934      , -0.22428912295770745     
   40.000000000000000      ,   1.8764727665675554      ,   1.3153411759401730      , -0.22791588334289631     
   41.000000000000000      ,   1.8586238207340040      ,   1.3631473873148665      , -0.23169383670602434     
   42.000000000000000      ,   1.8363744872906393      ,   1.4090447046827541      , -0.23567487088170153     
   43.000000000000000      ,   1.8100454089671678      ,   1.4527789601510559      , -0.23991562797756241     
   43.999999999999993      ,   1.7800111212548928      ,   1.4941244591877445      , -0.24447659534630045     
   45.000000000000000      ,   1.7466885289230321      ,   1.5328921612814421      , -0.24942098067549909     
